,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget ,revenue,Country,Genre
0,FALSE,,10749,485470,ko,ì°©í•œ í˜•ìˆ˜2,"If you give it once, a good brother-in-law who gives everything generously will come!  At the house of her girlfriend Jin-kyung, who lives with pumice stone, her brother and his wife suddenly visit and the four of them live together. At first, Kyung-seok, who was burdened by his girlfriend's brother, began to keep his eyes on his wife, Yeon-su. A bold brother-in-law who walks around in no-bra and panties without hesitation even at his sister-in-law's house. Besides, from a certain moment, he starts to send a hand of temptation to Pyeong-seok first...",1515.469,/3pEs4hmeHvTAsmx09whEaPDOQpq.jpg,43016,Nice Sister-In-Law 2,FALSE,6,2,50000,2000000,Korean,Romance
1,FALSE,/7OxGhxUYAdtuike29VMzEFxJx7y.jpg,35,2907,en,The Addams Family,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",413.417,/qFf8anju5f2epI0my8RdwwIXFIP.jpg,33564,The Addams Family,FALSE,7,3804,62719.55498,20913.1641,English,Comedy
2,FALSE,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,27,420634,en,Terrifier,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",295.279,/4lwh4MX2yCogHflyAYMRbfdnpnm.jpg,42444,Terrifier,FALSE,6.6,1117,59889.54934,60964.21913,English,Horror
3,FALSE,/qkt1Qn9j6yw9rcJhvSu1p3wuiBm.jpg,10751,8871,en,How the Grinch Stole Christmas,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",289.345,/1WZbbPApEivA421gCOluuzMMKCk.jpg,36845,How the Grinch Stole Christmas,FALSE,6.7,6190,12247.42076,26353.47394,English,Family
4,FALSE,/t3LicFpYHeYpwqm7L5wDpd22hL5.jpg,12,671,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizardâ€”with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deathsâ€”and about the villain who's to blame.",223.77,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,37211,Harry Potter and the Philosopher's Stone,FALSE,7.9,23632,99721.0869,22197.86243,English,Adventure
5,FALSE,/1stUIsjawROZxjiCMtqqXqgfZWC.jpg,12,672,en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermioneâ€™s magical abilities and courage.",203.984,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,37573,Harry Potter and the Chamber of Secrets,FALSE,7.7,18983,29058.07152,8006.561699,English,Adventure
6,FALSE,/urDWNffjwmNi5IQaezw9GwqkUXa.jpg,12,767,en,Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",203.954,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,40001,Harry Potter and the Half-Blood Prince,FALSE,7.7,16829,30603.45539,10374.93816,English,Adventure
7,FALSE,/5rrGVmRUuCKVbqUu41XIWTXJmNA.jpg,12,674,en,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schoolsâ€”the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",196.642,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,38672,Harry Potter and the Goblet of Fire,FALSE,7.8,17960,28822.20852,25486.95116,English,Adventure
8,FALSE,/obKmfNexgL4ZP5cAmzdL4KbHHYX.jpg,12,673,en,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",180.313,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,38138,Harry Potter and the Prisoner of Azkaban,FALSE,8,18664,26074.15291,61802.57051,English,Adventure
9,FALSE,/1n00NlOGRFZVs8coBxyZLm5l4EC.jpg,28,335988,en,Transformers: The Last Knight,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",178.4,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,42902,Transformers: The Last Knight,FALSE,6,5236,6989.314435,85315.30489,English,Action
