,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
0,1.0,False,/7OxGhxUYAdtuike29VMzEFxJx7y.jpg,"[35, 14]",2907.0,en,The Addams Family,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",298.037,/qFf8anju5f2epI0my8RdwwIXFIP.jpg,22-11-91,The Addams Family,False,7.0,3809.0,30000000.0,191502426.0,United States of America,Comedy,tt0101272,2017.0
1,2.0,False,/qkt1Qn9j6yw9rcJhvSu1p3wuiBm.jpg,"[10751, 35, 14]",8871.0,en,How the Grinch Stole Christmas,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",230.236,/1WZbbPApEivA421gCOluuzMMKCk.jpg,15-11-00,How the Grinch Stole Christmas,False,6.7,6198.0,123000000.0,345823040.0,Germany,Family,tt0170016,2017.0
2,3.0,False,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,"[27, 53]",420634.0,en,Terrifier,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",192.431,/4lwh4MX2yCogHflyAYMRbfdnpnm.jpg,15-03-16,Terrifier,False,6.6,1122.0,100000.0,0.0,United States of America,Horror,tt4281724,2017.0
3,4.0,False,/1stUIsjawROZxjiCMtqqXqgfZWC.jpg,"[12, 14]",672.0,en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",182.003,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,13-11-02,Harry Potter and the Chamber of Secrets,False,7.7,18991.0,100000000.0,876688482.0,United Kingdom,Adventure,tt0295297,2017.0
4,5.0,False,/urDWNffjwmNi5IQaezw9GwqkUXa.jpg,"[12, 14]",767.0,en,Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",176.511,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,07-07-09,Harry Potter and the Half-Blood Prince,False,7.7,16838.0,250000000.0,933959197.0,United Kingdom,Adventure,tt0417741,2017.0
5,6.0,False,/5rrGVmRUuCKVbqUu41XIWTXJmNA.jpg,"[12, 14, 10751]",674.0,en,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",175.009,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,16-11-05,Harry Potter and the Goblet of Fire,False,7.8,17970.0,150000000.0,895921036.0,United Kingdom,Adventure,tt0330373,2017.0
6,7.0,False,/t3LicFpYHeYpwqm7L5wDpd22hL5.jpg,"[12, 14]",671.0,en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",171.37,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,16-11-01,Harry Potter and the Philosopher's Stone,False,7.9,23639.0,125000000.0,976475550.0,United Kingdom,Adventure,tt0241527,2017.0
7,8.0,False,/obKmfNexgL4ZP5cAmzdL4KbHHYX.jpg,"[12, 14]",673.0,en,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",158.883,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,31-05-04,Harry Potter and the Prisoner of Azkaban,False,8.0,18672.0,130000000.0,789804554.0,United Kingdom,Adventure,tt0304141,2017.0
8,9.0,False,/n5A7brJCjejceZmHyujwUTVgQNC.jpg,"[14, 12]",12445.0,en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",158.762,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,07-07-11,Harry Potter and the Deathly Hallows: Part 2,False,8.1,17973.0,125000000.0,1341511219.0,United Kingdom,Fantasy,tt1201607,2017.0
9,10.0,False,/vcrgU0KaNj5mKUCIQSUdiQwTE9y.jpg,"[12, 14]",12444.0,en,Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",147.783,/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,06-10-10,Harry Potter and the Deathly Hallows: Part 1,False,7.8,16656.0,250000000.0,954305868.0,United Kingdom,Adventure,tt0926084,2017.0
10,11.0,False,/sO2VWeJ8qagNtYoznyLRL8TeSkw.jpg,"[12, 14, 9648]",675.0,en,Harry Potter and the Order of the Phoenix,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",145.398,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,28-06-07,Harry Potter and the Order of the Phoenix,False,7.7,17002.0,150000000.0,938212738.0,United Kingdom,Adventure,tt0373889,2017.0
11,12.0,False,/1n00NlOGRFZVs8coBxyZLm5l4EC.jpg,"[28, 12, 878]",335988.0,en,Transformers: The Last Knight,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",140.92,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,16-06-17,Transformers: The Last Knight,False,6.1,5237.0,217000000.0,605425157.0,United States of America,Action,tt3371366,2017.0
12,13.0,False,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,"[10751, 16, 14, 10402, 35, 12]",354912.0,en,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",132.402,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,27-10-17,Coco,False,8.2,16560.0,175000000.0,800526015.0,Mexico,Family,tt2380307,2017.0
13,14.0,False,/rshlQ6LfPRSWFhpGL4s5ZkIPR51.jpg,"[18, 36, 10752]",324786.0,en,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",120.614,/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg,07-10-16,Hacksaw Ridge,False,8.2,11669.0,40000000.0,175302354.0,Australia,Drama,tt2119532,2017.0
14,15.0,False,/rAiYTfKGqDCRIIqo664sY9XZIvQ.jpg,"[12, 18, 878]",157336.0,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,106.593,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,05-11-14,Interstellar,False,8.4,29905.0,165000000.0,701729206.0,United Kingdom,Adventure,tt0816692,2017.0
