Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
1,FALSE,/7OxGhxUYAdtuike29VMzEFxJx7y.jpg,"[35, 14]",2907,en,The Addams Family,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",298.037,/qFf8anju5f2epI0my8RdwwIXFIP.jpg,22-11-91,The Addams Family,FALSE,7,3809,30000000,191502426,United States of America,Comedy,tt0101272,2019
2,FALSE,/qkt1Qn9j6yw9rcJhvSu1p3wuiBm.jpg,"[10751, 35, 14]",8871,en,How the Grinch Stole Christmas,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",230.236,/1WZbbPApEivA421gCOluuzMMKCk.jpg,15-11-00,How the Grinch Stole Christmas,FALSE,6.7,6198,123000000,345823040,Germany,Family,tt0170016,2019
3,FALSE,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,"[28, 12, 878]",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",220.682,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,13-02-18,Black Panther,FALSE,7.4,19930,200000000,1347597973,United States of America,Action,tt1825683,2019
4,FALSE,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,"[12, 28, 878]",299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",200.173,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,25-04-18,Avengers: Infinity War,FALSE,8.3,25829,300000000,2046239637,United States of America,Adventure,tt4154756,2019
5,FALSE,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,"[27, 53]",420634,en,Terrifier,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",192.431,/4lwh4MX2yCogHflyAYMRbfdnpnm.jpg,15-03-16,Terrifier,FALSE,6.6,1122,100000,0,United States of America,Horror,tt4281724,2019
6,FALSE,/5lWIYxYEqWi8j3ZloxXntw3ImBo.jpg,"[16, 10751, 35, 14]",360920,en,The Grinch,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,185.927,/stAu0oF6dYDhV5ssbmFUYkQPtCP.jpg,08-11-18,The Grinch,FALSE,6.8,3110,75000000,508575295,United States of America,Animation,tt2709692,2019
7,FALSE,/1stUIsjawROZxjiCMtqqXqgfZWC.jpg,"[12, 14]",672,en,Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",182.003,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,13-11-02,Harry Potter and the Chamber of Secrets,FALSE,7.7,18991,100000000,876688482,United Kingdom,Adventure,tt0295297,2019
8,FALSE,/urDWNffjwmNi5IQaezw9GwqkUXa.jpg,"[12, 14]",767,en,Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",176.511,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,07-07-09,Harry Potter and the Half-Blood Prince,FALSE,7.7,16838,250000000,933959197,United Kingdom,Adventure,tt0417741,2019
9,FALSE,/5rrGVmRUuCKVbqUu41XIWTXJmNA.jpg,"[12, 14, 10751]",674,en,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",175.009,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,16-11-05,Harry Potter and the Goblet of Fire,FALSE,7.8,17970,150000000,895921036,United Kingdom,Adventure,tt0330373,2019
10,FALSE,/uCAy0n0WHTGU4d3LMJtE0fQxCej.jpg,"[10751, 16, 35, 14, 27]",481084,en,The Addams Family,"The Addams family's lives begin to unravel when they face-off against a treacherous, greedy crafty reality-TV host while also preparing for their extended family to arrive for a major celebration.",171.738,/q1epO0eO8DWu8Vo8tPfvVlzW48T.jpg,10-10-19,The Addams Family,FALSE,6.7,1913,40000000,203044905,Canada,Family,tt1620981,2019
